Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
139,+35,Feid - LUNA (w/ ATL Jacob),498,7,,1357545,"+103,839",9454118,"+13,461",1224814076
140,+28,Chase Atlantic - Swim,192,46,,1355882,"+80,492",9260075,"-19,998",282568163
141,+16,SZA - Snooze,789,25,,1353890,"+41,898",9800970,"-135,343",1412540270
142,+30,Linkin Park - In the End,676,8,,1350727,"+84,145",9154331,"-26,994",886619199
143,-12,Jin - Running Wild,152,6,,1350075,"-34,385",9566161,"-37,737",324802786
144,+20,The Weeknd - Die For You,1200,9,,1349213,"+62,421",9373979,"-63,952",2136460561
145,+20,Coldplay - A Sky Full of Stars,930,10,,1347663,"+61,398",9331903,"-57,394",634597743
146,+7,Bad Bunny - KLOuFRENS,101,18,,1343915,"+24,086",10006590,"-122,648",210418988
147,+1,Miley Cyrus - End of the World,12,33,,1342311,"+16,836",10713266,"-199,982",18935601
148,-13,De La Rose - NUBES (w/ Omar Courtz),7,78,,1333968,"-27,591",10209911,"+1,333,968",10209911
149,-46,Natasha Bedingfield - Unwritten,360,14,,1325789,"-160,166",10226093,"-202,301",673122389
150,-11,Leon Thomas - MUTT,11,139,,1323801,"-22,273",9163184,"+71,789",13933907
151,-24,Fleetwood Mac - Dreams - 2004 Remaster,666,17,,1321494,"-73,761",9522400,"-31,948",734094069
152,-9,Sabrina Carpenter - Bed Chem,234,9,,1319674,"-14,101",9405328,"-45,159",533481287
153,-32,The Script - The Man Who Can't Be Moved,9,113,,1315220,"-100,140",9325781,"+1,315,220",11560378
154,+29,Danny Ocean - Imagínate (w/ Kapo),110,37,,1313859,"+105,021",9588507,"-40,015",182881686
155,-21,Sabrina Carpenter - Juno,208,22,,1310770,"-52,207",9571450,"-36,461",341786474
156,+30,Benson Boone - In The Stars,208,49,,1307650,"+100,769",2514531,"+1,307,650",239188038
157,-10,MXZI - MONTAGEM TOMADA - Slowed,6,147,,1306774,"-19,942",7893327,"+1,306,774",7893327
158,-2,The Killers - Mr. Brightside,1344,59,,1304297,"-8,327",9315060,"-80,648",1119092764
159,-18,Ed Sheeran - Photograph,2020,13,,1301424,"-36,926",9401234,"-14,624",1456448045
160,+6,Clave Especial - TU TU TU (w/ Edgardo Nuñez),4,153,,1300787,"+17,570",5136558,"+1,300,787",5136558
161,-1,"Lana Del Rey - Henry, come on",5,16,,1300631,"-7,409",8925860,"+1,300,631",8925860
162,-42,Tito Double P - ROSONES,131,16,,1299441,"-117,063",9426225,"+14,825",290455631
163,-18,Kendrick Lamar - Money Trees (w/ Jay Rock),462,31,,1293834,"-36,996",9166295,"-13,990",590581257
164,+25,Neton Vega - Chiquita (w/ Tito Double P),10,164,,1290032,"+94,260",7357088,"+1,290,032",12110633
165,+20,The Walters - I Love You So,1058,18,,1288996,"+81,778",8931027,"-77,044",1510735456
166,-15,Hozier - Take Me To Church,1997,1,(x30),1287817,"-34,799",9327974,"-91,263",1871468548
167,-23,Rihanna - Breakin' Dishes,110,85,,1279952,"-51,385",9004515,"-40,195",165900648
168,-32,Oscar Maydon - Tu Boda (w/ Fuerza Regida),196,4,,1274957,"-81,798",9519117,"-81,188",545584446
169,-2,V - Winter Ahead (w/ Park Hyo Shin),138,15,,1269056,"-10,762",9129008,"-64,964",254290798
170,-24,Tito Double P - NADIE,145,32,,1269011,"-61,740",9336312,-828,285671500
171,RE,Raim Laode - Komang,91,44,,1268066,,3630423,"+1,268,066",118835421
172,+5,Gorillaz - Feel Good Inc,137,94,,1267399,"+18,135",8940263,"-130,220",192233920
173,-21,Journey - Don't Stop Believin' (2022 Remaster),328,61,,1256969,"-65,496",9342109,"-103,618",492034786
174,+4,The Chainsmokers - Closer (w/ Halsey),1540,1,(x82),1255544,"+18,510",8722439,"+6,629",1932860683
175,RE,Maroon 5 - Payphone (w/ Wiz Khalifa),417,63,,1254363,,3539576,"+1,254,363",386853217
176,RE,Tyla - PUSH 2 START,87,52,,1252913,,5062397,"-33,932",141696817
177,-2,Playboi Carti - EVIL J0RDAN,33,1,(x2),1251989,"+1,327",9459299,"-431,153",99994290
178,-36,Katy Perry - Last Friday Night (T.G.I.F.),7,142,,1248408,"-87,111",6321045,"+26,370",8741907
179,+14,Miguel Bueno - Solcito (w/ Juan Duque),20,124,,1247787,"+58,560",9034465,"-128,944",25684169
180,+2,Eminem - Without Me,1379,29,,1247288,"+37,394",8780391,"+5,717",1715693390
181,-19,Coldplay - Sparks,240,82,,1246766,"-51,133",7488583,"-43,747",304200373
182,RE,DJ Snake - Let Me Love You (w/ Justin Bieber),513,2,(x7),1246055,,2413608,"+1,246,055",895478579
183,+4,Evanescence - Bring Me To Life,15,123,,1244085,"+38,314",6244472,"-53,234",19226314
184,+7,Chezile - Beanie,143,53,,1240851,"+48,929",6133180,"-133,032",226193666
185,+13,Billie Eilish - lovely (w/ Khalid),2524,19,,1239445,"+56,251",6023680,"+1,239,445",3149387741
186,+2,Lana Del Rey - Young And Beautiful,81,120,,1234647,"+37,093",4730654,"-16,234",97343802
187,-17,Harry Styles - As It Was,1102,1,(x81),1232259,"-38,206",8879602,"-157,680",3768974943
188,-25,Victor Valverde - El Mayor De Los Ranas (w/ JR Torres),53,88,,1232234,"-62,039",9225498,"-43,144",75744830
189,+5,d4vd - Here With Me,498,13,,1223657,"+34,884",4734356,"+1,223,657",899489937
190,+6,Arctic Monkeys - Do I Wanna Know?,1333,69,,1213289,"+25,998",4831827,"-4,572",1098427902
