Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
93,+11,Post Malone,I Had Some Help (Feat. Morgan Wallen),Morgan Wallen,326,1,1,1583316,"+97,337",10779277,"+107,532",1000824368
94,+2,The Weeknd,Starboy,Daft Punk,1741,1,40,1582003,"+69,250",10946445,"-61,251",3015212009
95,-12,Morgan Wallen,Just In Case,,12,83,,1578773,"-45,694",10406007,"+144,761",17482462
96,RE,Benson Boone,Sorry I'm Here For Someone Else,,20,77,,1575465,,4117769,"+282,251",27783074
97,+27,SZA,Snooze,,775,25,,1575259,"+195,885",10223663,"+232,821",1392705773
98,+9,The Chainsmokers,Something Just Like This,Coldplay,1759,2,14,1572861,"+100,551",10947307,"-60,876",2115396927
99,-19,Ariana Grande,intro (end of the world) - extended,,5,27,,1568400,"-103,846",9707781,"+1,568,400",9707781
100,-8,Chappell Roan,The Giver,,19,9,,1562377,"+29,746",11787881,"-421,278",46304913
101,-15,Alex Warren,Carry You Home,,67,86,,1562194,"-21,074",10906538,"-73,369",89850280
102,+31,Natasha Bedingfield,Unwritten,,346,14,,1560837,"+219,645",10079289,"+168,578",652664241
103,-10,Don Toliver,No Pole,,140,58,,1555748,"+24,174",10865108,"-132,638",232652394
104,+6,Coldplay,The Scientist,,627,79,,1548284,"+94,033",10594285,"-19,849",414292849
105,-7,JENNIE,ExtraL,Doechii,40,18,,1541576,"+31,801",11398647,"-311,489",93147742
106,+12,Djo,End of Beginning,,410,1,3,1533952,"+128,340",10825331,"-99,472",1345037287
107,-7,Ravyn Lenae,Love Me Not,,14,100,,1533719,"+36,285",9995512,"+138,431",19047948
108,=,Radiohead,Creep,,488,93,,1530239,"+62,831",10431758,"+2,992",648653772
109,-19,sombr,undressed,,6,90,,1528829,"-8,069",8092873,"+1,528,829",8092873
110,-16,Xavi,En Privado,Manuel Turizo,13,94,,1517901,"-1,322",10570280,"+153,156",18203839
111,-10,Cigarettes After Sex,Apocalypse,,965,52,,1512424,"+15,073",10487512,"-10,288",1330333396
112,-10,Arctic Monkeys,No. 1 Party Anthem,,142,70,,1510854,"+17,582",10604498,"-23,051",225997608
113,+12,Ed Sheeran,Photograph,,2006,13,,1507879,"+130,365",10361144,"-93,642",1437089102
114,=,Bruno Mars,That's What I Like,,969,5,,1507774,"+85,549",10852313,"-184,272",1346991687
115,-2,Ed Sheeran,Perfect,,2722,3,1,1498792,"+58,958",10978338,"-79,885",3043316239
116,+22,Ed Sheeran,Shape of You,,2467,1,98,1487626,"+156,859",10478194,"-60,829",3698203640
117,-5,Hozier,Take Me To Church,,1983,1,30,1483256,"+42,622",10151572,"+3,851",1852363811
118,+3,Empire Of The Sun,We Are The People,,25,118,,1472122,"+69,528",9535890,"+133,011",32053867
119,+7,Tom Odell,Another Love,,1446,11,,1464892,"+95,918",10060418,"+21,570",2515220924
120,-11,Linkin Park,Up From the Bottom,,5,41,,1459462,"+4,297",8274888,"+1,459,462",8274888
121,+44,Bruno Mars,When I Was Your Man,,1181,28,,1450183,"+204,597",9835489,"+24,535",1260120917
122,+10,OneRepublic,Counting Stars,,2149,31,,1430400,"+85,982",10017241,"-40,290",1884598332
123,-18,Bad Bunny,KLOuFRENS,,87,18,,1430325,"-50,461",10379512,"-63,985",190734553
124,-7,Chase Atlantic,Swim,,178,46,,1421810,"+10,720",10308906,"-35,688",263466999
125,+2,ATLXS,PASSO BEM SOLTO - Slowed,,6,125,,1420017,"+52,864",7831216,"+1,420,017",7831216
126,+4,Charli xcx,Guess featuring billie eilish,Billie Eilish,234,3,1,1409667,"+60,262",9822704,"+14,567",530110587
127,+8,Vance Joy,Riptide,,2234,16,,1407738,"+73,560",9742475,"+26,483",2136863453
128,RE,James Arthur,Say You Won't Let Go,,2433,6,,1407634,,1407634,"+1,407,634",2531897149
129,-7,Tito Double P,DOS DÍAS,Peso Pluma,215,24,,1406326,"+9,983",10448903,"-137,222",433317033
130,+11,Linkin Park,In the End,,662,8,,1405880,"+83,261",9343044,"+98,890",868151417
131,+12,Teddy Swims,The Door,,200,88,,1403321,"+86,812",9767079,"-13,054",278887276
132,+5,Jin,Running Wild,,138,6,,1403229,"+69,843",9847279,"-119,082",305740495
133,-13,Billie Eilish,CHIHIRO,,318,3,1,1400439,"-4,399",9919670,"-113,528",743951561
134,-15,Rauw Alejandro,Khé?,Romeo Santos,138,21,,1394773,"-10,170",9951683,"-102,851",322777310
135,-20,Victor Valverde,El Mayor De Los Ranas,JR Torres,39,88,,1390126,"-27,053",10411243,"-127,805",56788661
136,-13,Tito Double P,ROSONES,,117,16,,1388879,"+2,608",10249744,"-150,070",271555662
137,-1,Journey,Don't Stop Believin' (2022 Remaster),,314,61,,1387920,"+53,804",9420809,"+78,369",473501970
138,-9,The Weeknd,Blinding Lights,,1947,1,82,1378952,"+23,813",9787516,"-33,160",4686962419
139,+24,Rihanna,Breakin' Dishes,,96,85,,1375519,"+127,457",9461547,"+16,416",147720593
140,+20,Kendrick Lamar,HUMBLE.,,773,1,7,1373676,"+120,530",9319403,"-69,562",1139363219
141,+8,Sachet-Parampara,"Raanjhan (From ""Do Patti"")","Parampara Tandon, Kausar Munir",13,129,,1372383,"+87,197",9382318,"+6,671",17262980
142,+9,Kendrick Lamar,Money Trees,Jay Rock,448,31,,1367032,"+87,792",9411924,"-19,121",572228616
143,-46,Danny Ocean,Imagínate,Kapo,96,37,,1358450,"-151,880",10063245,"-69,312",163884624
144,+13,Coldplay,A Sky Full of Stars,,916,10,,1352567,"+88,133",9437175,"+26,335",615613273
145,-29,Tito Double P,NADIE,,131,32,,1345624,"-69,323",9869805,"-66,895",267041806
146,-18,Taylor Swift,Cruel Summer,,785,2,18,1342945,"-17,505",9812681,"-133,635",2383303739
147,+8,Maanu,Jhol,Annural Khalid,4,147,,1342270,"+69,655",5045603,"+1,342,270",5045603
148,+5,The Weeknd,Die For You,,1186,9,,1338058,"+61,908",9390208,"-37,806",2117727259
149,-15,Chuyin,Pika Pika,"Fuerza Regida, Jorsshh, Calle 24",57,71,,1333581,-651,9426435,"-17,037",87889757
150,RE,A$AP Rocky,I Smoked Away My Brain (I'm God x Demons Mashup),"Imogen Heap, Clams Casino",23,148,,1330669,,1330669,"+1,330,669",30200901
151,-12,Oscar Maydon,Amigos? No.,Neton Vega,21,127,,1329890,+277,9666396,"-49,671",28922772
152,NEW,Clave Especial,COMO CAPO,Fuerza Regida,1,152,,1329722,,1329722,"+1,329,722",1329722
153,+18,Keane,Somewhere Only We Know,,841,63,,1329140,"+97,790",9025209,"-14,406",1096190958
154,+4,JENNIE,Handlebars,Dua Lipa,26,17,,1328731,"+73,914",9691568,"-276,566",51172832
155,-15,Oscar Maydon,Tu Boda,Fuerza Regida,182,4,,1324454,"-4,819",9713735,"-122,415",526644487
156,-25,Sabrina Carpenter,Bed Chem,,220,9,,1324351,"-24,325",9653588,"-105,787",514813372
157,-5,V,Winter Ahead,Park Hyo Shin,124,15,,1320831,"+42,704",9394098,"+7,462",235914735
158,NEW,Emilia,blackout 🧊,"TINI, Nicki Nicole",1,158,,1318979,,1318979,"+1,318,979",1318979
159,-12,The Chainsmokers,Closer,Halsey,1526,1,82,1317121,"+19,615",9307726,"-114,282",1915101775
160,+7,Benson Boone,Slow It Down,,328,26,,1311243,"+71,406",6367859,"+9,272",653347028
161,-19,Don Omar,Danza Kuduro,Lucenzo,462,79,,1305354,"-14,035",9498372,"+57,919",622314660
162,-16,Miguel Bueno,Solcito,Juan Duque,6,146,,1299522,"-6,754",7525964,"+1,299,522",7525964
163,RE,Tyla,PUSH 2 START,,80,52,,1296114,,1296114,"+1,296,114",132886601
164,NEW,Malcolm Todd,Chest Pain (I Love),,1,164,,1294846,,1294846,"+1,294,846",1294846
